A,B,C,D,E,F,G
2020-11-12,39783,77583,gzxswmv,-277223.15,mpw,ympmcd
1992-10-29,82021,67456,kigann,-194327.20,swqakr,pjtxbhf
1934-10-21,54099,29628,espy,-303466.84,ohxqkjq,laqxmc
1970-10-26,2103,22030,ooju,-108679.65,rkfu,qnbmra
1910-10-28,47923,73593,xevonit,262416.33,jovy,gnivyacb
2081-11-26,17875,20288,bjrm,53961.61,htrjvz,ypitzkx
1968-11-16,91111,91547,lgfo,317254.52,qsvgyoad,rfso
1916-11-18,95051,93805,zzgsk,-114870.24,aoudx,xfcswnh
1984-11-21,2930,85223,viytdko,-175284.43,brzhz,ygh
2057-10-18,61272,56524,pavemmb,-15805.63,ktfb,pxmwoyg
2089-11-15,86529,16119,ruvoi,328520.85,yvxz,bpchm
2091-10-18,11402,67203,unusmjl,157603.87,zkv,xxpe
1926-11-10,17684,72747,ancev,187481.50,foovq,kbebitvf
1921-10-25,28016,87442,sllqzzkv,-258884.91,fgijdhrn,calngft
1911-11-10,87330,69003,qbip,-124026.50,xxgyl,gomj
2044-10-12,10874,28892,kgjvdk,-129283.17,rjx,oegnpnd
2061-11-27,44604,51459,spk,-57881.68,dzzkha,wwucsim
2014-11-10,91366,94114,ahac,142744.60,iuu,ekqdueu
2083-11-30,62417,69464,xmf,-87917.05,jsnz,ygxbspts
1904-11-26,11801,2864,kqouxw,-119020.40,degwamg,flqcfb
1986-10-23,61884,75983,xzbeko,51120.90,skdoouh,exaxmrsj
1931-10-19,20772,21860,fpchyh,-30376.79,qcz,fdrdwvdh
1944-10-23,53038,26977,apvw,332405.75,rxcacy,gpw
2087-11-29,93472,93298,zpcjjbng,138829.74,xpxxdp,keouw
1929-10-23,99276,11244,vlav,-193488.22,grere,jwdjgbm
1992-10-30,21767,40132,jvf,32677.34,aekx,chylf
2037-11-14,72986,86299,uzy,288994.15,obau,lqc
1952-11-13,55667,95769,yyflm,-213703.24,hgyoffzs,ynmtrq
1990-10-21,60970,73480,npvmwyx,154317.61,rxs,hmf
1994-10-14,1840,75162,gec,-87331.46,ogtde,mqsev
1999-10-26,54651,22668,rptocqj,55236.52,lcxsri,lbdjohjt
